OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
,23A,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PICKPOCKET, $200-$950",,,,,,,,,,,,,,,,
,23A,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PICKPOCKET, $50-$200",,,,,,,,,,,,,,,,
,23A,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PICKPOCKET, ATTEMPTED",,,,,,,,,,,,,,,,
,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PURSE SNATCH, <$50",,,,,,,,,,,,,,,,
,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PURSE SNATCH, >$950",,,,,,,,,,,,,,,,
,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PURSE SNATCH, $200-$950",,,,,,,,,,,,,,,,
,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PURSE SNATCH, $50-$200",,,,,,,,,,,,,,,,
,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, PURSE SNATCH, ATT.",,,,,,,,,,,,,,,,
,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, SHOPLIFTING, <$50",,,,,,,,,,,,,,,,
,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, SHOPLIFTING, >$950",,,,,,,,,,,,,,,,
,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, SHOPLIFTING, $200-$950",,,,,,,,,,,,,,,,
,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, SHOPLIFTING, $50-$200",,,,,,,,,,,,,,,,
,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, SHOPLIFTING, ATT.",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"THEFT, SHORT CHANGE",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"THEFT, TRICK & DEVICE, MISD.",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"THEFT, TRICK AND DEVICE, ATT.",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"THEFT, TRICK AND DEVICE, FELONY",,,,,,,,,,,,,,,,
,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, VEHICLE STRIP, <$50",,,,,,,,,,,,,,,,
,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, VEHICLE STRIP, >$950",,,,,,,,,,,,,,,,
,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, VEHICLE STRIP, $200-$950",,,,,,,,,,,,,,,,
,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, VEHICLE STRIP, $50-$200",,,,,,,,,,,,,,,,
,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"THEFT, VEHICLE STRIP, ATTEMPTED",,,,,,,,,,,,,,,,
,13B,13B Simple Assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,THREAT TO STATE OFFICIAL OR JUDGE,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,THREAT TO STATE OFFICIAL OR JUDGE,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,THREATENING PHONE CALL(S),,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,THREATENING SCHOOL OR PUBLIC EMPLOYEE,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,THREATENING SCHOOL OR PUBLIC EMPLOYEE,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,THREATS AGAINST LIFE,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,THREATS TO SCHOOL TEACHERS,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,THROWING INJURIOUS SUBSTANCE ON HIGHWAY,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"THROWING OBJECT AT COMMON CARRIER, PASSENGER OR FREIGHT",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,THROWING SUBSTANCE AT VEHICLE,,,,,,,,,,,,,,,,
,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,OFFENCES AGAINST THE FAMILY AND CHILDREN,"TOBACCO PRODUCTS, SELLING OR FURNISHING TO MINOR",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"TOBACCO PRODUCTS, SELLING OR FURNISHING TO MINOR",,,,,,,,,,,,,,,,
,270,270 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,"TRADE SECRETS, THEFT OR UNAUTHORIZED COPYING",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,TRAFFIC ACCIDENT,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,TRAFFIC COLLISION,TRAFFIC COLLISION,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,TRAFFIC COLLISION,"TRAFFIC COLLISION, HIT & RUN, INJURY",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,TRAFFIC COLLISION,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,TRAFFIC VIOLATION,,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,TRAFFIC VIOLATION ARREST,TRAFFIC VIOLATION ARREST,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTAION OF CONTROLLED SUBSTANCE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF AMPHETAMINE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF HALLUCINOGENIC,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF HEROIN,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF METH-AMPHETAMINE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF METHADONE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF OPIATES,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF OPIUM,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,TRANSPORTATION OF OPIUM DERIVATIVE,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"TRASH, PLACING ON THE STREET",,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,ASSAULT,TRESPASS WITHIN 30 DAYS OF CREDIBLE THREAT,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,TRESPASS WITHIN 30 DAYS OF CREDIBLE THREAT,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,TRESPASSING,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,TRESPASS,TRESPASSING,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,TRESPASSING ON RAILROAD TRAINS,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,TRESPASS,TRESPASSING ON RAILROAD TRAINS,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,TRESPASSING OR LOITERING NEAR POSTED INDUSTRIAL PROPERTY,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,TREA,TRESPASSING OR LOITERING NEAR POSTED INDUSTRIAL PROPERTY,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"TRICK AND DEVICE, ATTEMPTED",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"TRICK AND DEVICE, GRAND THEFT",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"TRICK AND DEVICE, PETTY THEFT",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,JUVENILE OFFENSES,"TRUANT, HABITUAL",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"TRUANT, HABITUAL",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,TURNED IN GUN,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,UNAUTHORIZED USE OF LOUD SPEAKERS,,,,,,,,,,,,,,,,
,90E,90E Drunkenness (except Driving Under the Influence),Drunkenness (except Driving Under the Influence),Crimes against society,,,,,,,,,,,,,,,,,,,,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,UNEMPLOYMENT INSURANCE ACT VIOLATION,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,UNKNOWN COMPLAINT,,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,UNLAWFUL ASSEMBLY,,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,LOITERING,UNLAWFUL ASSEMBLY,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,UNLAWFUL DISSUADING/THREATENING OF A WITNESS,,,,,,,,,,,,,,,,
,36B,36B Statutory Rape,"Sex Offenses, Nonforcible",Crimes against person,,,,,,,,,,,,,,,,,,,,"SEX OFFENSES, NON FORCIBLE",UNLAWFUL SEXUAL INTERCOURSE,,,,,,,,,,,,,,,,
,11A,11A Rape (except Statutory Rape),Sex Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,RAPE,UNLAWFUL SEXUAL INTERCOURSE WITH MINOR,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,LIQUOR LAWS,UNLAWFUL TRANSPORTATION OF ALCOHOL,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,UNSOLICITED FAX ADVERTISING,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,SUSPICIOUS OCC,UNUSUAL OCCURENCE,,,,,,,,,,,,,,,,
,99X,99X Non-Categorisable Offenses,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,UNUSUAL OCCURRENCE,,,,,,,,,,,,,,,,
,290,315 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,MALICIOUS MISCHIEF,VANDALISM OR GRAFFITI ON OR WITHIN 100 FT OF HIGHWAY,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,VANDALISM OR GRAFFITI ON OR WITHIN 100 FT OF HIGHWAY,,,,,,,,,,,,,,,,
,290,316 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,MALICIOUS MISCHIEF,"VANDALISM OR GRAFFITI TOOLS, POSSESSION",,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,"VANDALISM OR GRAFFITI TOOLS, POSSESSION",,,,,,,,,,,,,,,,
,290,317 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,MALICIOUS MISCHIEF,VANDALISM WITH NOXIOUS CHEMICAL,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,VANDALISM WITH NOXIOUS CHEMICAL,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"VEHICLE ALARM CODE GRABBING DEVICE, POSSESS OR USE",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"VEHICLE ALARM CODE GRABBING DEVICE, POSSESS OR USE",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"VEHICLE REGISTRATION, FALSE EVIDENCE OF",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"VEHICLE, DISABLED PLACARD VIOLATION",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"VEHICLE, DISABLED PLACARD VIOLATION",,,,,,,,,,,,,,,,
,270,289 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"VEHICLE, EMBEZZLED",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE IMPOUNDED,"VEHICLE, IMPOUNDED",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE MISPLACED,"VEHICLE, MISPLACED",,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"VEHICLE, OPEN CONTAINER OF ALCOHOL IN",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, BUS",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RECOVERED, BUS",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, CAMPER-HOUSE CAR-MOTOR HOME",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RECOVERED, CAMPER-HOUSE CAR-MOTOR HOME",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, MOBILE HOME OR HOUSE TRAILER",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, MOBILE HOME-TRAILER",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RECOVERED, MOBILE HOME-TRAILER",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, MOTORCYCLE",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, OTHER VEHICLE",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RECOVERED, STOLEN OUTSIDE SF",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,RECOVERED VEHICLE,"VEHICLE, RECOVERED, TRUCK",,,,,,,,,,,,,,,,
,270,290 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"VEHICLE, RENTAL, FAILURE TO RETURN",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, RENTAL, FAILURE TO RETURN",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN & RECOVERED",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN, ATTEMPTED",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN, AUTO",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN, BUS",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN, MOBILE HOME OR HOUSE TRAILER",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN, MOTORCYCLE",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN, OTHER VEHICLE",,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,VEHICLE THEFT,"VEHICLE, STOLEN, TRUCK",,,,,,,,,,,,,,,,
