OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
DRUGS - SICK ASSIST - OTHER NARCOTIC,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBEZELLMENT,270,270 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBEZZLEMENT,270,270 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVADING FARE,26U,26U Other Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLOS,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLOSIVES,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLOSIVES - POSSESSION OR USE,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLOSIVES - TURNED IN OR FOUND,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTORTION OR BLACKMAIL,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRE RELATED REPORTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIRE REPORT - CAR, BRUSH, ETC.",99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIRE REPORT - HOUSE, BUILDING, ETC.",99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRE REPORT/ALARM - FALSE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREARM DISCOVERY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREARM VIOLATIONS,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREARM/WEAPON - ACCIDENTAL INJURY / DEATH,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREARM/WEAPON - CARRY - SELL - RENT,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREARM/WEAPON - FOUND OR CONFISCATED,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREARM/WEAPON - LOST,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREARM/WEAPON - POSSESSION OF DANGEROUS,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORGERY,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORGERY / COUNTERFEITING,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORGERY OR UTTERING,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUD,26U,26U Other Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUD - CREDIT CARD / ATM FRAUD,26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUD - FALSE PRETENSE,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUD - FALSE PRETENSE / SCHEME,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUD - IMPERSONATION,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUD - WELFARE,26D,26D Welfare Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUD - WIRE,26E,26E Wire Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAUDS - ALL OTHER,26U,26U Other Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
